Supplier,Transporter,Week,Shipment_Qty
S113,T004,9,0.0
S113,T004,10,0.0
S113,T004,11,0.0
S113,T004,12,1160.0
S113,T004,13,0.0
S113,T004,14,0.0
S113,T004,15,0.0
S113,T004,16,0.0
S113,T004,17,0.0
S113,T004,18,0.0
S113,T004,19,1160.0
S113,T004,20,1160.0
S113,T004,21,0.0
S113,T004,22,1160.0
S113,T004,23,1160.0
S113,T004,24,1160.0
S113,T005,1,1160.0
S113,T005,2,0.0
S113,T005,3,0.0
S113,T005,4,0.0
S113,T005,5,744.0
S113,T005,6,0.0
S113,T005,7,0.0
S113,T005,8,0.0
S113,T005,9,0.0
S113,T005,10,0.0
S113,T005,11,0.0
S113,T005,12,0.0
S113,T005,13,0.0
S113,T005,14,0.0
S113,T005,15,0.0
S113,T005,16,0.0
S113,T005,17,0.0
S113,T005,18,1160.0
S113,T005,19,0.0
S113,T005,20,0.0
S113,T005,21,1160.0
S113,T005,22,0.0
S113,T005,23,0.0
S113,T005,24,0.0
S113,T006,1,0.0
S113,T006,2,0.0
S113,T006,3,0.0
S113,T006,4,0.0
S113,T006,5,416.0
S113,T006,6,1160.0
S113,T006,7,0.0
S113,T006,8,0.0
S113,T006,9,0.0
S113,T006,10,0.0
S113,T006,11,0.0
S113,T006,12,0.0
S113,T006,13,1160.0
S113,T006,14,0.0
S113,T006,15,0.0
S113,T006,16,0.0
S113,T006,17,0.0
S113,T006,18,0.0
S113,T006,19,0.0
S113,T006,20,0.0
S113,T006,21,0.0
S113,T006,22,0.0
S113,T006,23,0.0
S113,T006,24,0.0
S113,T007,1,0.0
S113,T007,2,0.0
S113,T007,3,0.0
S113,T007,4,0.0
S113,T007,5,0.0
S113,T007,6,0.0
S113,T007,7,1160.0
S113,T007,8,0.0
S113,T007,9,0.0
S113,T007,10,0.0
S113,T007,11,0.0
S113,T007,12,0.0
S113,T007,13,0.0
S113,T007,14,0.0
S113,T007,15,494.0
S113,T007,16,0.0
S113,T007,17,0.0
S113,T007,18,0.0
S113,T007,19,0.0
S113,T007,20,0.0
S113,T007,21,0.0
S113,T007,22,0.0
S113,T007,23,0.0
S113,T007,24,0.0
S113,T008,1,0.0
S113,T008,2,0.0
S113,T008,3,0.0
S113,T008,4,0.0
S113,T008,5,0.0
S113,T008,6,0.0
S113,T008,7,0.0
S113,T008,8,0.0
S113,T008,9,1160.0
S113,T008,10,0.0
S113,T008,11,0.0
S113,T008,12,0.0
S113,T008,13,0.0
S113,T008,14,1160.0
S113,T008,15,0.0
S113,T008,16,0.0
S113,T008,17,0.0
S113,T008,18,0.0
S113,T008,19,0.0
S113,T008,20,0.0
S113,T008,21,0.0
S113,T008,22,0.0
S113,T008,23,0.0
S113,T008,24,0.0
S395,T001,1,0.0
S395,T001,2,0.0
S395,T001,3,0.0
S395,T001,4,0.0
S395,T001,5,0.0
S395,T001,6,857.0
S395,T001,7,0.0
S395,T001,8,0.0
S395,T001,9,0.0
S395,T001,10,0.0
S395,T001,11,0.0
S395,T001,12,0.0
S395,T001,13,0.0
S395,T001,14,0.0
S395,T001,15,1116.0
S395,T001,16,0.0
S395,T001,17,0.0
S395,T001,18,1116.0
S395,T001,19,0.0
S395,T001,20,1116.0
S395,T001,21,0.0
S395,T001,22,0.0
S395,T001,23,0.0
S395,T001,24,1116.0
S395,T002,1,0.0
S395,T002,2,0.0
S395,T002,3,0.0
S395,T002,4,0.0
S395,T002,5,0.0
S395,T002,6,0.0
S395,T002,7,0.0
S395,T002,8,0.0
S395,T002,9,0.0
S395,T002,10,0.0
S395,T002,11,0.0
S395,T002,12,0.0
S395,T002,13,0.0
S395,T002,14,0.0
S395,T002,15,0.0
S395,T002,16,0.0
S395,T002,17,0.0
S395,T002,18,0.0
S395,T002,19,0.0
S395,T002,20,0.0
S395,T002,21,0.0
S395,T002,22,0.0
S395,T002,23,0.0
S395,T002,24,0.0
S395,T003,1,0.0
S395,T003,2,0.0
S395,T003,3,0.0
S395,T003,4,0.0
S395,T003,5,0.0
S395,T003,6,0.0
S395,T003,7,0.0
S395,T003,8,0.0
S395,T003,9,0.0
S395,T003,10,1116.0
S395,T003,11,0.0
S395,T003,12,0.0
S395,T003,13,0.0
S395,T003,14,0.0
S395,T003,15,0.0
S395,T003,16,0.0
S395,T003,17,1116.0
S395,T003,18,0.0
S395,T003,19,0.0
S395,T003,20,0.0
S395,T003,21,0.0
S395,T003,22,0.0
S395,T003,23,0.0
S395,T003,24,0.0
S395,T004,1,0.0
S395,T004,2,0.0
S395,T004,3,0.0
S395,T004,4,0.0
S395,T004,5,0.0
S395,T004,6,0.0
S395,T004,7,0.0
S395,T004,8,0.0
S395,T004,9,0.0
S395,T004,10,0.0
S395,T004,11,0.0
S395,T004,12,0.0
S395,T004,13,0.0
S395,T004,14,0.0
S395,T004,15,0.0
S395,T004,16,0.0
S395,T004,17,0.0
S395,T004,18,0.0
S395,T004,19,0.0
S395,T004,20,0.0
S395,T004,21,0.0
S395,T004,22,0.0
S395,T004,23,0.0
S395,T004,24,0.0
S395,T005,1,1116.0
S395,T005,2,0.0
S395,T005,3,0.0
S395,T005,4,0.0
S395,T005,5,0.0
S395,T005,6,0.0
S395,T005,7,0.0
S395,T005,8,0.0
S395,T005,9,0.0
S395,T005,10,0.0
S395,T005,11,0.0
S395,T005,12,0.0
S395,T005,13,0.0
S395,T005,14,0.0
S395,T005,15,0.0
S395,T005,16,0.0
S395,T005,17,0.0
S395,T005,18,0.0
S395,T005,19,0.0
S395,T005,20,0.0
S395,T005,21,0.0
S395,T005,22,1116.0
S395,T005,23,0.0
S395,T005,24,0.0
S395,T006,1,0.0
S395,T006,2,1116.0
S395,T006,3,0.0
S395,T006,4,1116.0
S395,T006,5,0.0
S395,T006,6,259.0
S395,T006,7,1116.0
S395,T006,8,1116.0
S395,T006,9,0.0
S395,T006,10,0.0
S395,T006,11,0.0
S395,T006,12,0.0
S395,T006,13,1116.0
S395,T006,14,0.0
S395,T006,15,0.0
S395,T006,16,0.0
S395,T006,17,0.0
S395,T006,18,0.0
S395,T006,19,0.0
S395,T006,20,0.0
S395,T006,21,1116.0
S395,T006,22,0.0
S395,T006,23,0.0
S395,T006,24,0.0
S395,T007,1,0.0
S395,T007,2,0.0
S395,T007,3,1116.0
S395,T007,4,0.0
S395,T007,5,0.0
S395,T007,6,0.0
S395,T007,7,0.0
S395,T007,8,0.0
S395,T007,9,1116.0
S395,T007,10,0.0
S395,T007,11,1116.0
S395,T007,12,0.0
S395,T007,13,0.0
S395,T007,14,0.0
S395,T007,15,0.0
S395,T007,16,0.0
S395,T007,17,0.0
S395,T007,18,0.0
S395,T007,19,0.0
S395,T007,20,0.0
S395,T007,21,0.0
S395,T007,22,0.0
S395,T007,23,0.0
S395,T007,24,0.0
S395,T008,1,0.0
S395,T008,2,0.0
S395,T008,3,0.0
S395,T008,4,0.0
S395,T008,5,1116.0
S395,T008,6,0.0
S395,T008,7,0.0
S395,T008,8,0.0
S395,T008,9,0.0
S395,T008,10,0.0
S395,T008,11,0.0
S395,T008,12,1116.0
S395,T008,13,0.0
S395,T008,14,0.0
S395,T008,15,0.0
S395,T008,16,0.0
S395,T008,17,0.0
S395,T008,18,0.0
S395,T008,19,0.0
S395,T008,20,0.0
S395,T008,21,0.0
S395,T008,22,0.0
S395,T008,23,0.0
S395,T008,24,0.0
S390,T001,1,0.0
S390,T001,2,0.0
S390,T001,3,0.0
S390,T001,4,0.0
S390,T001,5,0.0
S390,T001,6,0.0
S390,T001,7,0.0
S390,T001,8,0.0
S390,T001,9,0.0
S390,T001,10,1134.0
S390,T001,11,0.0
S390,T001,12,0.0
S390,T001,13,0.0
S390,T001,14,0.0
S390,T001,15,0.0
S390,T001,16,0.0
S390,T001,17,0.0
S390,T001,18,0.0
S390,T001,19,1134.0
S390,T001,20,0.0
S390,T001,21,0.0
S390,T001,22,0.0
S390,T001,23,0.0
S390,T001,24,0.0
S390,T002,1,0.0
S390,T002,2,0.0
S390,T002,3,0.0
S390,T002,4,0.0
S390,T002,5,0.0
S390,T002,6,0.0
S390,T002,7,0.0
S390,T002,8,0.0
S390,T002,9,0.0
S390,T002,10,0.0
S390,T002,11,0.0
S390,T002,12,0.0
S390,T002,13,0.0
S390,T002,14,0.0
S390,T002,15,0.0
S390,T002,16,0.0
S390,T002,17,1134.0
S390,T002,18,0.0
S390,T002,19,0.0
S390,T002,20,0.0
S390,T002,21,0.0
S390,T002,22,0.0
S390,T002,23,0.0
S390,T002,24,0.0
S390,T003,1,0.0
S390,T003,2,0.0
S390,T003,3,1134.0
S390,T003,4,0.0
S390,T003,5,0.0
S390,T003,6,0.0
S390,T003,7,0.0
S390,T003,8,798.0
S390,T003,9,0.0
S390,T003,10,0.0
S390,T003,11,1134.0
S390,T003,12,1134.0
S390,T003,13,0.0
S390,T003,14,0.0
S390,T003,15,0.0
S390,T003,16,0.0
S390,T003,17,0.0
S390,T003,18,0.0
S390,T003,19,0.0
S390,T003,20,0.0
S390,T003,21,0.0
S390,T003,22,1134.0
S390,T003,23,1134.0
S390,T003,24,0.0
S390,T004,1,0.0
S390,T004,2,0.0
S390,T004,3,0.0
S390,T004,4,0.0
S390,T004,5,0.0
S390,T004,6,0.0
S390,T004,7,0.0
S390,T004,8,0.0
S390,T004,9,0.0
S390,T004,10,0.0
S390,T004,11,0.0
S390,T004,12,0.0
S390,T004,13,0.0
S390,T004,14,0.0
S390,T004,15,1134.0
S390,T004,16,0.0
S390,T004,17,0.0
S390,T004,18,0.0
S390,T004,19,0.0
S390,T004,20,0.0
S390,T004,21,0.0
S390,T004,22,0.0
S390,T004,23,0.0
S390,T004,24,0.0
S390,T005,1,0.0
S390,T005,2,724.0
S390,T005,3,0.0
S390,T005,4,0.0
S390,T005,5,0.0
S390,T005,6,941.0
S390,T005,7,0.0
S390,T005,8,0.0
S390,T005,9,0.0
S390,T005,10,0.0
S390,T005,11,0.0
S390,T005,12,0.0
S390,T005,13,0.0
S390,T005,14,0.0
S390,T005,15,0.0
S390,T005,16,1134.0
S390,T005,17,0.0
S390,T005,18,0.0
S390,T005,19,0.0
S390,T005,20,1134.0
S390,T005,21,0.0
S390,T005,22,0.0
S390,T005,23,0.0
S390,T005,24,0.0
S390,T006,1,1134.0
S390,T006,2,0.0
S390,T006,3,0.0
S390,T006,4,0.0
S390,T006,5,0.0
S390,T006,6,0.0
S390,T006,7,0.0
S390,T006,8,0.0
S390,T006,9,0.0
S390,T006,10,0.0
S390,T006,11,0.0
S390,T006,12,0.0
S390,T006,13,1134.0
S390,T006,14,0.0
S390,T006,15,0.0
S390,T006,16,0.0
S390,T006,17,0.0
S390,T006,18,0.0
S390,T006,19,0.0
S390,T006,20,0.0
S390,T006,21,0.0
S390,T006,22,0.0
S390,T006,23,0.0
S390,T006,24,0.0
S390,T007,1,0.0
S390,T007,2,0.0
S390,T007,3,0.0
S390,T007,4,0.0
S390,T007,5,0.0
S390,T007,6,0.0
S390,T007,7,0.0
S390,T007,8,0.0
S390,T007,9,0.0
S390,T007,10,0.0
S390,T007,11,0.0
S390,T007,12,0.0
S390,T007,13,0.0
S390,T007,14,1134.0
S390,T007,15,0.0
S390,T007,16,0.0
S390,T007,17,0.0
S390,T007,18,0.0
S390,T007,19,0.0
S390,T007,20,0.0
S390,T007,21,0.0
S390,T007,22,0.0
S390,T007,23,0.0
S390,T007,24,0.0
S390,T008,1,0.0
S390,T008,2,0.0
S390,T008,3,0.0
S390,T008,4,0.0
S390,T008,5,1134.0
S390,T008,6,193.0
S390,T008,7,1134.0
S390,T008,8,336.0
S390,T008,9,0.0
S390,T008,10,0.0
S390,T008,11,0.0
S390,T008,12,0.0
S390,T008,13,0.0
S390,T008,14,0.0
S390,T008,15,0.0
S390,T008,16,0.0
S390,T008,17,0.0
S390,T008,18,0.0
S390,T008,19,0.0
S390,T008,20,0.0
S390,T008,21,1134.0
S390,T008,22,0.0
S390,T008,23,0.0
S390,T008,24,1134.0
S150,T001,1,0.0
S150,T001,2,0.0
S150,T001,3,0.0
S150,T001,4,0.0
S150,T001,5,1130.0
S150,T001,6,0.0
S150,T001,7,0.0
S150,T001,8,0.0
S150,T001,9,0.0
S150,T001,10,0.0
S150,T001,11,0.0
S150,T001,12,1130.0
S150,T001,13,0.0
S150,T001,14,0.0
S150,T001,15,0.0
S150,T001,16,0.0
S150,T001,17,0.0
S150,T001,18,0.0
S150,T001,19,0.0
S150,T001,20,0.0
S150,T001,21,1130.0
S150,T001,22,0.0
S150,T001,23,0.0
S150,T001,24,0.0
S150,T002,1,0.0
S150,T002,2,0.0
S150,T002,3,0.0
S150,T002,4,0.0
S150,T002,5,0.0
S150,T002,6,0.0
S150,T002,7,1130.0
S150,T002,8,0.0
S150,T002,9,0.0
S150,T002,10,0.0
S150,T002,11,0.0
S150,T002,12,0.0
S150,T002,13,0.0
S150,T002,14,0.0
S150,T002,15,0.0
S150,T002,16,0.0
S150,T002,17,1130.0
S150,T002,18,0.0
S150,T002,19,1130.0
S150,T002,20,0.0
S150,T002,21,0.0
S150,T002,22,354.0
S150,T002,23,0.0
S150,T002,24,0.0
S150,T003,1,0.0
S150,T003,2,0.0
S150,T003,3,0.0
S150,T003,4,0.0
S150,T003,5,0.0
S150,T003,6,0.0
S150,T003,7,0.0
S150,T003,8,0.0
S150,T003,9,0.0
S150,T003,10,0.0
S150,T003,11,0.0
S150,T003,12,0.0
S150,T003,13,0.0
S150,T003,14,0.0
S150,T003,15,0.0
S150,T003,16,0.0
S150,T003,17,0.0
S150,T003,18,0.0
S150,T003,19,0.0
S150,T003,20,0.0
S150,T003,21,0.0
S150,T003,22,0.0
S150,T003,23,0.0
S150,T003,24,0.0
S150,T004,1,0.0
S150,T004,2,0.0
S150,T004,3,0.0
S150,T004,4,0.0
S150,T004,5,0.0
S150,T004,6,0.0
S150,T004,7,0.0
S150,T004,8,0.0
S150,T004,9,0.0
S150,T004,10,1130.0
S150,T004,11,0.0
S150,T004,12,0.0
S150,T004,13,0.0
S150,T004,14,0.0
S150,T004,15,0.0
S150,T004,16,0.0
S150,T004,17,0.0
S150,T004,18,1130.0
S150,T004,19,0.0
S150,T004,20,0.0
S150,T004,21,0.0
S150,T004,22,0.0
S150,T004,23,0.0
S150,T004,24,1130.0
S150,T005,1,0.0
S150,T005,2,1130.0
S150,T005,3,0.0
S150,T005,4,0.0
S150,T005,5,0.0
S150,T005,6,1130.0
S150,T005,7,0.0
S150,T005,8,0.0
S150,T005,9,0.0
S150,T005,10,0.0
S150,T005,11,0.0
S150,T005,12,0.0
S150,T005,13,0.0
S150,T005,14,0.0
S150,T005,15,0.0
S150,T005,16,0.0
S150,T005,17,0.0
S150,T005,18,0.0
S150,T005,19,0.0
S150,T005,20,0.0
S150,T005,21,0.0
S150,T005,22,709.0
S150,T005,23,0.0
S150,T005,24,0.0
S150,T006,1,0.0
S150,T006,2,0.0
S150,T006,3,0.0
S150,T006,4,0.0
S150,T006,5,0.0
S150,T006,6,0.0
S150,T006,7,0.0
S150,T006,8,0.0
S150,T006,9,1130.0
S150,T006,10,0.0
S150,T006,11,0.0
S150,T006,12,0.0
S150,T006,13,1130.0
S150,T006,14,0.0
S150,T006,15,0.0
S150,T006,16,0.0
S150,T006,17,0.0
S150,T006,18,0.0
S150,T006,19,0.0
S150,T006,20,1130.0
S150,T006,21,0.0
S150,T006,22,0.0
S150,T006,23,0.0
S150,T006,24,0.0
S150,T007,1,0.0
S150,T007,2,0.0
S150,T007,3,0.0
S150,T007,4,0.0
S150,T007,5,0.0
S150,T007,6,0.0
S150,T007,7,0.0
S150,T007,8,1130.0
S150,T007,9,0.0
S150,T007,10,0.0
S150,T007,11,1130.0
S150,T007,12,0.0
S150,T007,13,0.0
S150,T007,14,0.0
S150,T007,15,0.0
S150,T007,16,1130.0
S150,T007,17,0.0
S150,T007,18,0.0
S150,T007,19,0.0
S150,T007,20,0.0
S150,T007,21,0.0
S150,T007,22,0.0
S150,T007,23,0.0
S150,T007,24,0.0
S150,T008,1,1130.0
S150,T008,2,0.0
S150,T008,3,0.0
S150,T008,4,0.0
S150,T008,5,0.0
S150,T008,6,0.0
S150,T008,7,0.0
S150,T008,8,0.0
S150,T008,9,0.0
S150,T008,10,0.0
S150,T008,11,0.0
S150,T008,12,0.0
S150,T008,13,0.0
S150,T008,14,0.0
S150,T008,15,0.0
S150,T008,16,0.0
S150,T008,17,0.0
S150,T008,18,0.0
S150,T008,19,0.0
S150,T008,20,0.0
S150,T008,21,0.0
S150,T008,22,0.0
S150,T008,23,0.0
S150,T008,24,0.0
S401,T001,1,877.0
S401,T001,2,0.0
S401,T001,3,0.0
S401,T001,4,0.0
S401,T001,5,1145.0
S401,T001,6,0.0
S401,T001,7,0.0
S401,T001,8,0.0
S401,T001,9,0.0
S401,T001,10,0.0
S401,T001,11,0.0
S401,T001,12,0.0
S401,T001,13,0.0
S401,T001,14,0.0
S401,T001,15,0.0
S401,T001,16,0.0
S401,T001,17,0.0
S401,T001,18,0.0
S401,T001,19,0.0
S401,T001,20,0.0
S401,T001,21,0.0
S401,T001,22,0.0
S401,T001,23,0.0
S401,T001,24,0.0
S401,T002,1,0.0
S401,T002,2,0.0
S401,T002,3,0.0
S401,T002,4,0.0
S401,T002,5,0.0
S401,T002,6,0.0
S401,T002,7,0.0
S401,T002,8,0.0
S401,T002,9,0.0
S401,T002,10,0.0
S401,T002,11,844.0
S401,T002,12,0.0
S401,T002,13,0.0
S401,T002,14,0.0
S401,T002,15,0.0
S401,T002,16,0.0
S401,T002,17,1145.0
S401,T002,18,0.0
S401,T002,19,0.0
S401,T002,20,1145.0
S401,T002,21,0.0
S401,T002,22,0.0
S401,T002,23,0.0
S401,T002,24,0.0
S401,T003,1,268.0
S401,T003,2,0.0
S401,T003,3,0.0
S401,T003,4,1145.0
S401,T003,5,0.0
S401,T003,6,0.0
S401,T003,7,0.0
S401,T003,8,0.0
S401,T003,9,0.0
S401,T003,10,0.0
S401,T003,11,0.0
S401,T003,12,0.0
S401,T003,13,0.0
S401,T003,14,0.0
S401,T003,15,1145.0
S401,T003,16,0.0
S401,T003,17,0.0
S401,T003,18,0.0
S401,T003,19,0.0
S401,T003,20,0.0
S401,T003,21,0.0
S401,T003,22,0.0
S401,T003,23,1145.0
S401,T003,24,0.0
S401,T004,1,0.0
S401,T004,2,0.0
S401,T004,3,0.0
S401,T004,4,0.0
S401,T004,5,0.0
S401,T004,6,0.0
S401,T004,7,1145.0
S401,T004,8,0.0
S401,T004,9,0.0
S401,T004,10,0.0
S401,T004,11,301.0
S401,T004,12,0.0
S401,T004,13,1145.0
S401,T004,14,0.0
S401,T004,15,0.0
S401,T004,16,0.0
S401,T004,17,0.0
S401,T004,18,1145.0
S401,T004,19,0.0
S401,T004,20,0.0
S401,T004,21,0.0
S401,T004,22,0.0
S401,T004,23,0.0
S401,T004,24,0.0
S401,T005,1,0.0
S401,T005,2,0.0
S401,T005,3,1145.0
S401,T005,4,0.0
S401,T005,5,0.0
S401,T005,6,0.0
S401,T005,7,0.0
S401,T005,8,1145.0
S401,T005,9,1145.0
S401,T005,10,0.0
S401,T005,11,0.0
S401,T005,12,1145.0
S401,T005,13,0.0
S401,T005,14,0.0
S401,T005,15,0.0
S401,T005,16,0.0
S401,T005,17,0.0
S401,T005,18,0.0
S401,T005,19,0.0
S401,T005,20,0.0
S401,T005,21,0.0
S401,T005,22,1145.0
S401,T005,23,0.0
S401,T005,24,0.0
S401,T006,1,0.0
S401,T006,2,0.0
S401,T006,3,0.0
S401,T006,4,0.0
S401,T006,5,0.0
S401,T006,6,0.0
S401,T006,7,0.0
S401,T006,8,0.0
S401,T006,9,0.0
S401,T006,10,0.0
S401,T006,11,0.0
S401,T006,12,0.0
S401,T006,13,0.0
S401,T006,14,1145.0
S401,T006,15,0.0
S401,T006,16,0.0
S401,T006,17,0.0
S401,T006,18,0.0
S401,T006,19,0.0
S401,T006,20,0.0
S401,T006,21,0.0
S401,T006,22,0.0
S401,T006,23,0.0
S401,T006,24,1145.0
S401,T007,1,0.0
S401,T007,2,1145.0
S401,T007,3,0.0
S401,T007,4,0.0
S401,T007,5,0.0
S401,T007,6,0.0
S401,T007,7,0.0
S401,T007,8,0.0
S401,T007,9,0.0
S401,T007,10,0.0
S401,T007,11,0.0
S401,T007,12,0.0
S401,T007,13,0.0
S401,T007,14,0.0
S401,T007,15,0.0
S401,T007,16,0.0
S401,T007,17,0.0
S401,T007,18,0.0
S401,T007,19,1145.0
S401,T007,20,0.0
S401,T007,21,0.0
S401,T007,22,0.0
S401,T007,23,0.0
S401,T007,24,0.0
S401,T008,1,0.0
S401,T008,2,0.0
S401,T008,3,0.0
S401,T008,4,0.0
S401,T008,5,0.0
S401,T008,6,0.0
S401,T008,7,0.0
S401,T008,8,0.0
S401,T008,9,0.0
S401,T008,10,0.0
S401,T008,11,0.0
S401,T008,12,0.0
S401,T008,13,0.0
S401,T008,14,0.0
S401,T008,15,0.0
S401,T008,16,0.0
S401,T008,17,0.0
S401,T008,18,0.0
S401,T008,19,0.0
S401,T008,20,0.0
S401,T008,21,0.0
S401,T008,22,0.0
S401,T008,23,0.0
S401,T008,24,0.0
S231,T001,1,0.0
